<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.10.2020,16:19:00,114630,115153,108269,109271,23
01.10.2020,16:20:00,111253,115240,107942,109705,76
01.10.2020,16:21:00,113966,115122,107972,109806,13
01.10.2020,16:22:00,108274,114671,108264,108891,74
01.10.2020,16:23:00,110361,115238,108040,111862,52
01.10.2020,16:24:00,111419,115284,107957,109166,7
01.10.2020,16:25:00,109969,115291,107950,108338,30
01.10.2020,16:26:00,110169,115216,107940,112557,80
01.10.2020,16:27:00,111147,115058,107900,114235,66
01.10.2020,16:28:00,114823,115204,107961,114374,30
01.10.2020,16:29:00,113663,115207,108199,112709,5
01.10.2020,16:30:00,112758,115246,107966,109964,24
01.10.2020,16:31:00,109216,115209,107937,109041,77
01.10.2020,16:32:00,114111,115268,107948,113876,86
01.10.2020,16:33:00,110754,115233,108056,113459,12
01.10.2020,16:35:00,113076,115180,108273,111025,13
01.10.2020,16:36:00,113968,114860,108010,108577,2
01.10.2020,16:37:00,115008,115294,108096,114419,26
01.10.2020,16:38:00,108427,115104,107998,114730,51
01.10.2020,16:39:00,110848,115215,108026,114173,61
01.10.2020,16:40:00,109330,115278,108046,115004,23
01.10.2020,16:41:00,111054,115295,108026,113442,50
01.10.2020,16:42:00,108917,115256,107917,114407,76
01.10.2020,16:43:00,112411,115078,107950,109074,68
01.10.2020,16:44:00,113182,115103,107956,111004,52
01.10.2020,16:45:00,114179,114850,108041,108961,1
01.10.2020,16:46:00,108347,115170,108161,108775,95
01.10.2020,16:47:00,114303,115220,108171,109957,20
01.10.2020,16:48:00,109929,115227,107913,113326,53
01.10.2020,16:49:00,112411,115282,108014,111793,70
01.10.2020,16:50:00,112157,115164,107966,109457,74
01.10.2020,16:51:00,112376,115241,107915,115101,96
01.10.2020,16:52:00,111472,115227,108111,110409,82
01.10.2020,16:53:00,110610,115145,107905,114824,22
01.10.2020,16:54:00,111309,115075,108235,109901,39
01.10.2020,16:55:00,114590,115294,107905,114372,60
01.10.2020,16:56:00,115211,115270,108229,113528,42
01.10.2020,16:57:00,109110,115207,107904,114041,5
01.10.2020,16:58:00,109847,115128,107938,108308,65
01.10.2020,16:59:00,110844,115152,108033,108775,8
01.10.2020,17:00:00,109299,115268,107997,114455,26
01.10.2020,17:01:00,109058,114851,108035,110873,97
01.10.2020,17:02:00,109819,115291,107900,109197,72
01.10.2020,17:03:00,109961,115224,107999,110000,52
01.10.2020,17:04:00,114550,115211,107959,111620,64
01.10.2020,17:05:00,108253,115275,107925,112603,96
01.10.2020,17:06:00,113217,115251,107947,114848,62
01.10.2020,17:07:00,115161,115161,107918,108997,17
01.10.2020,17:08:00,112751,115280,108204,114168,15
01.10.2020,17:09:00,112537,115273,107909,111618,87
01.10.2020,17:10:00,114081,115279,107984,114288,45
01.10.2020,17:11:00,111256,115227,107972,112702,46
01.10.2020,17:12:00,114832,115263,108182,112743,20
01.10.2020,17:13:00,113350,115221,108027,113614,12
01.10.2020,17:14:00,110907,115274,107913,108826,21
01.10.2020,17:15:00,111961,114634,107955,111825,2
01.10.2020,17:16:00,108210,115273,108210,113113,19
01.10.2020,17:17:00,111461,115282,108357,108849,46
01.10.2020,17:18:00,113000,115080,108034,109181,52
01.10.2020,17:19:00,111748,115240,107975,115052,76
01.10.2020,17:20:00,112814,115158,108165,111666,73
01.10.2020,17:21:00,114147,114908,108097,109271,75
01.10.2020,17:22:00,109768,115065,107976,112019,29
01.10.2020,17:23:00,109439,115237,107967,108675,33
01.10.2020,17:24:00,113830,115255,108005,113046,72
01.10.2020,17:25:00,112321,115044,108311,108777,14
01.10.2020,17:26:00,111743,115257,107946,108277,95
01.10.2020,17:27:00,108266,114968,107908,108903,3
01.10.2020,17:28:00,115090,115145,107971,107971,46
01.10.2020,17:29:00,113997,115228,107919,114872,69
01.10.2020,17:30:00,111311,114928,108070,111521,45
01.10.2020,17:31:00,113939,115228,107914,108857,73
01.10.2020,17:32:00,114701,115291,107918,113153,82
01.10.2020,17:33:00,113812,115124,108306,111545,75
01.10.2020,17:34:00,109413,115265,107933,112706,50
01.10.2020,17:36:00,111232,114553,107905,113008,97
01.10.2020,17:37:00,109391,115200,107960,111519,63
01.10.2020,17:38:00,112555,115288,107931,113585,44
01.10.2020,17:39:00,109194,115263,107920,109203,65
01.10.2020,17:40:00,114325,115119,107909,109539,98
01.10.2020,17:41:00,107913,115266,107913,110083,15
01.10.2020,17:42:00,114905,115236,108247,113476,64
01.10.2020,17:43:00,110687,115282,107902,109450,96
01.10.2020,17:44:00,112604,115146,107974,109543,72
01.10.2020,17:45:00,114287,115261,107931,113481,65
01.10.2020,17:46:00,113373,115215,108056,109982,11
01.10.2020,17:47:00,110161,115233,108027,112072,59
01.10.2020,17:48:00,113959,115288,107984,111726,84
01.10.2020,17:49:00,110419,115219,108283,112460,79
01.10.2020,17:50:00,108807,115118,107975,108136,70
01.10.2020,17:51:00,115289,115289,107977,114167,56
01.10.2020,17:52:00,114636,115265,107901,114824,82
01.10.2020,17:53:00,111011,115288,108010,109072,80
01.10.2020,17:54:00,115268,115284,107981,114124,79
01.10.2020,17:55:00,112650,115149,108203,113832,52
01.10.2020,17:56:00,108190,115235,107993,114715,72
01.10.2020,17:57:00,110995,114968,108040,114413,83
01.10.2020,17:58:00,113102,115147,108328,108847,85
01.10.2020,17:59:00,109275,115213,107972,108797,12
01.10.2020,18:00:00,109407,115294,107972,108857,83
01.10.2020,18:01:00,114164,115214,107911,112595,64
01.10.2020,18:02:00,109170,115235,108231,108339,32
01.10.2020,18:03:00,112936,115263,107929,111869,83
01.10.2020,18:04:00,113015,115280,107964,112522,81
01.10.2020,18:05:00,114159,115181,108271,110220,20
01.10.2020,18:06:00,108994,115292,107966,111267,11
01.10.2020,18:07:00,112642,115191,108063,113167,15
01.10.2020,18:08:00,110582,115074,108417,114356,66
01.10.2020,18:09:00,112589,115284,108071,112615,41
01.10.2020,18:10:00,112565,115138,107928,112068,23
01.10.2020,18:11:00,108454,115259,108119,115259,68
01.10.2020,18:12:00,109901,115244,107931,113752,45
01.10.2020,18:13:00,111350,115247,107933,114899,49
01.10.2020,18:14:00,108723,115207,107939,113082,13
01.10.2020,18:15:00,113942,115290,107981,111392,23
01.10.2020,18:16:00,112671,115284,108016,113858,29
01.10.2020,18:17:00,109309,115115,107948,108896,16
01.10.2020,18:18:00,113887,115227,107923,109250,72
01.10.2020,18:19:00,113372,115234,107982,108253,22
01.10.2020,18:20:00,112683,115215,108341,112663,42
01.10.2020,18:21:00,111643,115255,108147,113005,36
01.10.2020,18:22:00,114358,115180,108022,110037,30
01.10.2020,18:23:00,113520,115265,108113,112306,91
01.10.2020,18:24:00,110318,115228,107915,112825,41
01.10.2020,18:25:00,114832,115089,107992,114157,87
01.10.2020,18:26:00,108500,115161,108050,111720,71
01.10.2020,18:27:00,107908,115193,107908,109600,43
01.10.2020,18:29:00,110447,115269,107927,114718,32
01.10.2020,18:30:00,109286,115213,107991,109910,68
01.10.2020,18:31:00,114124,115193,108269,113558,20
01.10.2020,18:32:00,113596,115102,107975,115048,86
01.10.2020,18:33:00,115164,115164,107912,111490,3
01.10.2020,18:34:00,113663,115287,107986,110731,33
01.10.2020,18:35:00,114138,115245,108160,108928,1
01.10.2020,18:36:00,112770,115257,107902,111154,40
01.10.2020,18:37:00,108883,115040,107942,111806,46
01.10.2020,18:38:00,114256,115177,108034,109962,4
01.10.2020,18:39:00,109385,115261,108071,108853,14
01.10.2020,18:40:00,113497,115009,108154,110998,4
01.10.2020,18:41:00,111949,114928,108163,111859,41
01.10.2020,18:42:00,114607,115290,108241,114233,72
01.10.2020,18:43:00,114083,114997,107944,109720,39
01.10.2020,18:44:00,110581,115277,107943,111572,62
01.10.2020,18:45:00,112263,115243,108014,109463,5
01.10.2020,18:46:00,108151,115270,107911,110036,7
01.10.2020,18:47:00,109077,115178,107930,108517,26
01.10.2020,18:48:00,109911,115263,108023,113825,52
01.10.2020,18:49:00,113530,115181,108034,109384,46
01.10.2020,18:50:00,114197,115231,107953,109643,8
01.10.2020,18:51:00,111900,114952,108311,109856,84
01.10.2020,18:52:00,112619,115191,108028,115066,70
01.10.2020,18:53:00,114227,115138,108046,110861,68
01.10.2020,18:54:00,112361,114896,107900,110301,64
01.10.2020,18:55:00,109386,115067,107929,112430,8
01.10.2020,18:56:00,108145,115228,108028,108996,90
01.10.2020,18:57:00,111162,115272,107971,114280,21
01.10.2020,18:58:00,109332,115072,107961,112718,98
01.10.2020,18:59:00,113996,115296,107912,111078,61
01.10.2020,19:00:00,114483,115294,107955,111927,51
01.10.2020,19:01:00,114610,115049,107945,108949,64
01.10.2020,19:02:00,110017,115229,107968,115229,43
01.10.2020,19:03:00,108806,115129,107908,113298,7
01.10.2020,19:04:00,109350,115220,107962,107962,72
01.10.2020,19:05:00,110796,115206,108009,108316,45
01.10.2020,19:06:00,107937,115216,107937,112272,21
01.10.2020,19:07:00,112194,115288,107903,112666,58
01.10.2020,19:08:00,114767,115136,107939,109540,61
01.10.2020,19:09:00,114968,115060,107951,108272,19
01.10.2020,19:10:00,111249,115294,108153,112317,87
01.10.2020,19:11:00,108298,115218,107997,108177,5
01.10.2020,19:12:00,109985,115272,108188,112696,33
01.10.2020,19:13:00,113050,115256,108028,111683,56
01.10.2020,19:14:00,110478,115144,107989,113028,20
01.10.2020,19:15:00,111140,115252,107981,114364,65
01.10.2020,19:16:00,108685,115010,107949,114408,1
01.10.2020,19:17:00,110424,115130,108070,114016,79
01.10.2020,19:18:00,113075,115273,107915,114101,82
01.10.2020,19:19:00,112552,115107,107990,112418,28
01.10.2020,19:20:00,110055,115040,108337,112334,90
01.10.2020,19:21:00,109555,115200,108052,114881,49
01.10.2020,19:22:00,110504,115151,107911,108943,47
01.10.2020,19:23:00,107909,115215,107909,108094,32
01.10.2020,19:24:00,114790,115285,107927,112342,79
01.10.2020,19:25:00,112462,115217,108067,111586,72
01.10.2020,19:26:00,113360,115255,108015,113480,45
01.10.2020,19:27:00,111210,115250,107906,108504,43
01.10.2020,19:28:00,112797,115265,107969,108522,33
01.10.2020,19:29:00,112768,115163,107912,110776,84
01.10.2020,19:30:00,112241,115257,108010,109499,62
01.10.2020,19:31:00,108640,115221,107951,114639,52
01.10.2020,19:32:00,108049,115097,108011,113247,88
01.10.2020,19:33:00,108638,115253,108089,114993,60
01.10.2020,19:34:00,114001,115173,108024,109033,64
01.10.2020,19:35:00,111364,115197,107908,112678,26
01.10.2020,19:36:00,109098,115099,108146,112663,72
01.10.2020,19:37:00,109918,114932,107912,110482,37
01.10.2020,19:38:00,111615,115257,108318,112463,66
01.10.2020,19:39:00,112776,114852,107960,110583,13
01.10.2020,19:40:00,113905,115026,108332,111126,78
01.10.2020,19:41:00,109853,115236,107901,114422,36
01.10.2020,19:42:00,113591,115204,108044,109302,23
01.10.2020,19:43:00,109322,115096,107976,114695,30
01.10.2020,19:44:00,108726,115236,107920,111017,74
01.10.2020,19:45:00,111821,115186,108215,108594,88
01.10.2020,19:46:00,107955,115264,107955,112502,67
01.10.2020,19:47:00,111832,115195,107932,115195,98
01.10.2020,19:48:00,110438,115001,107916,111231,54
01.10.2020,19:49:00,112025,115297,108094,114795,88
01.10.2020,19:50:00,110016,115297,107955,107986,36
01.10.2020,19:51:00,110055,115170,108006,114328,94
01.10.2020,19:52:00,113181,115231,107946,111090,91
01.10.2020,19:53:00,113205,115293,108030,110976,68
01.10.2020,19:54:00,114120,115239,107971,114098,85
01.10.2020,19:55:00,113191,115075,108033,111036,70
01.10.2020,19:56:00,108798,115148,108026,110735,29
01.10.2020,19:57:00,110238,115246,108260,110550,73
01.10.2020,19:58:00,109032,115289,108047,113950,56
01.10.2020,19:59:00,112105,115260,108280,113334,32
01.10.2020,20:00:00,110662,115198,107918,113637,9
02.10.2020,10:00:00,109774,115242,107947,113829,85
02.10.2020,10:01:00,109394,115279,107917,114805,92
02.10.2020,10:02:00,112738,115279,107926,114602,65
02.10.2020,10:03:00,113778,115219,108292,115219,33
02.10.2020,10:04:00,109130,115274,108358,111825,30
02.10.2020,10:05:00,112032,115177,107998,113918,56
02.10.2020,10:06:00,112029,115255,107909,111206,60
02.10.2020,10:07:00,109451,115255,108041,113855,57
02.10.2020,10:08:00,110905,115277,108018,113227,23
02.10.2020,10:09:00,113382,115027,107919,112693,17
02.10.2020,10:10:00,111120,115006,108316,111209,93
02.10.2020,10:11:00,112894,115193,107943,113478,94
02.10.2020,10:12:00,110022,115282,108174,110918,55
02.10.2020,10:13:00,111779,115217,107950,110220,38
02.10.2020,10:14:00,111821,115014,107929,109359,35
02.10.2020,10:15:00,113833,115289,107963,108525,77
02.10.2020,10:16:00,108878,115205,108040,108576,70
02.10.2020,10:17:00,113112,115082,108092,113511,3
02.10.2020,10:18:00,110215,114894,107970,113806,56
02.10.2020,10:19:00,114599,115030,107905,108489,71
02.10.2020,10:20:00,110205,115224,108015,114865,42
02.10.2020,10:21:00,113109,114937,107928,114932,54
02.10.2020,10:22:00,114904,115000,107974,113235,81
02.10.2020,10:23:00,114736,115217,107959,113902,9
02.10.2020,10:24:00,108482,115235,108100,113067,48
02.10.2020,10:25:00,112750,115224,107908,110369,35
02.10.2020,10:26:00,108970,115293,107988,111303,60
02.10.2020,10:27:00,113565,115150,107925,110178,72
02.10.2020,10:28:00,109992,115196,108118,114816,32
02.10.2020,10:29:00,110015,114569,108093,109713,87
02.10.2020,10:30:00,113354,115194,108321,108482,96
02.10.2020,10:31:00,108021,115278,107981,113825,74
02.10.2020,10:32:00,110714,115106,108052,108860,29
02.10.2020,10:33:00,108721,115078,108151,114898,69
02.10.2020,10:34:00,110999,115279,107943,108305,4
02.10.2020,10:35:00,110563,115233,107988,111988,1
02.10.2020,10:36:00,109679,114726,108102,108276,49
02.10.2020,10:37:00,108905,115289,107960,111868,20
02.10.2020,10:38:00,114221,115216,107900,114082,57
02.10.2020,10:39:00,113619,115222,108060,111296,11
02.10.2020,10:40:00,108368,115248,108044,112067,47
02.10.2020,10:41:00,108690,115287,107951,107993,71
02.10.2020,10:42:00,112943,115296,108076,110587,29
02.10.2020,10:43:00,111739,115216,107985,115216,73
02.10.2020,10:44:00,111251,115162,107902,114238,69
02.10.2020,10:45:00,115125,115235,108198,115235,62
02.10.2020,10:46:00,108097,115229,108097,109912,56
02.10.2020,10:47:00,114684,115260,107957,110318,8
02.10.2020,10:48:00,114469,115263,108325,110065,2
02.10.2020,10:49:00,112564,114937,108002,109852,32
02.10.2020,10:50:00,111751,115132,108090,112041,35
02.10.2020,10:51:00,108951,115079,107935,109786,55
02.10.2020,10:52:00,113426,115298,107925,113920,68
02.10.2020,10:53:00,114541,115287,107918,114011,98
02.10.2020,10:54:00,112079,115214,107932,112308,10
02.10.2020,10:55:00,109260,115078,107916,108120,51
02.10.2020,10:56:00,110369,115102,107928,112884,17
02.10.2020,10:57:00,114669,115298,108020,108971,64
02.10.2020,10:58:00,113243,115093,107931,109280,45
02.10.2020,10:59:00,109743,115202,107938,110387,9
02.10.2020,11:00:00,109988,115169,108144,114200,65
02.10.2020,11:01:00,109950,115288,107922,114444,84
02.10.2020,11:02:00,109161,115262,107976,110436,95
02.10.2020,11:03:00,110260,115222,107984,111152,34
02.10.2020,11:04:00,110162,115292,108023,108226,55
02.10.2020,11:05:00,108116,115287,108116,115287,39
02.10.2020,11:06:00,109098,115016,108088,113152,29
02.10.2020,11:07:00,113183,115286,108471,109440,4
02.10.2020,11:08:00,115212,115212,107924,112313,74
02.10.2020,11:09:00,111711,115151,107907,111920,86
02.10.2020,11:10:00,110280,115212,107926,114375,66
02.10.2020,11:11:00,112296,115223,108264,113016,70
02.10.2020,11:12:00,108324,115226,108066,111107,62
02.10.2020,11:13:00,113386,115230,107970,111312,14
02.10.2020,11:14:00,112087,114970,108265,113043,48
02.10.2020,11:15:00,110445,115009,108046,108046,6
02.10.2020,11:16:00,109321,115259,107940,109626,5
02.10.2020,11:17:00,114080,115266,107948,109998,63
02.10.2020,11:18:00,110810,115272,107987,108746,32
02.10.2020,11:19:00,109858,115233,108031,108141,80
02.10.2020,11:20:00,110662,115022,107909,108860,96
02.10.2020,11:21:00,109587,115192,107992,108214,32
02.10.2020,11:22:00,113168,115296,107934,111541,63
02.10.2020,11:23:00,108181,115061,108094,112605,19
02.10.2020,11:24:00,113317,115160,108002,109656,17
02.10.2020,11:25:00,110404,115147,107938,112452,23
02.10.2020,11:26:00,108583,115292,107986,108767,92
02.10.2020,11:27:00,112131,115296,107949,113541,73
02.10.2020,11:28:00,112492,115110,107968,108798,54
02.10.2020,11:29:00,109543,115096,108353,115077,37
02.10.2020,11:30:00,114824,115028,107912,112002,82
02.10.2020,11:31:00,110587,115123,108002,114877,50
02.10.2020,11:32:00,109669,115280,107938,110275,52
02.10.2020,11:33:00,112793,115269,107932,109639,17
02.10.2020,11:34:00,113928,114939,108124,112411,31
02.10.2020,11:35:00,108391,115244,107927,114520,86
02.10.2020,11:36:00,112662,115285,107983,111223,55
02.10.2020,11:37:00,109419,115219,107940,107981,40
02.10.2020,11:38:00,113413,115214,107928,114715,56
02.10.2020,11:39:00,108926,115106,107989,112207,33
02.10.2020,11:40:00,114574,115271,108107,108608,26
02.10.2020,11:41:00,113762,115271,108023,114397,56
02.10.2020,11:42:00,113608,115110,107927,109569,29
02.10.2020,11:43:00,113086,115274,108545,113269,47
02.10.2020,11:44:00,113814,114980,108312,114980,50
02.10.2020,11:45:00,112611,115128,108080,114664,31
02.10.2020,11:46:00,112568,115219,108096,111045,88
02.10.2020,11:49:00,113838,115192,108042,113725,56
02.10.2020,11:50:00,111020,115109,108119,111639,36
02.10.2020,11:51:00,114272,115274,107969,108353,57
02.10.2020,11:52:00,113111,115176,108104,110870,3
02.10.2020,11:53:00,111110,115207,108014,112960,1
02.10.2020,11:54:00,110867,115209,107921,114777,33
02.10.2020,11:55:00,110907,115272,107918,108506,35
02.10.2020,11:56:00,109728,114886,107912,109653,11
02.10.2020,11:57:00,113210,115244,107908,113448,13
02.10.2020,11:58:00,110233,115033,108089,109194,92
02.10.2020,11:59:00,109446,115228,107951,113553,63
02.10.2020,12:00:00,111382,115278,107962,109724,96
02.10.2020,12:01:00,112148,115235,108237,108387,82
02.10.2020,12:02:00,108073,115209,108032,113825,33
02.10.2020,12:03:00,113607,115234,108113,111532,40
02.10.2020,12:04:00,114598,115167,108230,111560,90
02.10.2020,12:05:00,114250,114864,108003,113742,1
02.10.2020,12:06:00,108769,114918,107932,112302,69
02.10.2020,12:07:00,112473,115266,108061,108402,3
02.10.2020,12:08:00,113414,115214,107979,114833,14
02.10.2020,12:09:00,114095,115117,107920,114822,43
02.10.2020,12:10:00,114967,114967,108151,112904,73
02.10.2020,12:11:00,110530,115230,108046,110190,71
02.10.2020,12:12:00,112771,115298,108094,113763,72
02.10.2020,12:13:00,114935,115103,108074,112156,47
02.10.2020,12:14:00,111593,115273,107919,110057,19
02.10.2020,12:15:00,108040,115223,107953,108252,29
02.10.2020,12:16:00,113987,115246,108083,111196,33
02.10.2020,12:17:00,109393,115131,107938,111466,65
02.10.2020,12:18:00,110439,115290,107963,113614,40
02.10.2020,12:19:00,112365,115270,107991,107991,45
02.10.2020,12:20:00,113925,115279,107903,108071,2
02.10.2020,12:21:00,112123,115283,108021,112940,22
02.10.2020,12:22:00,114257,115166,107928,111665,50
02.10.2020,12:23:00,114286,115281,107948,109912,95
02.10.2020,12:24:00,115049,115254,108319,113219,82
02.10.2020,12:25:00,113666,115200,108365,111339,7
02.10.2020,12:26:00,108871,115186,107903,109317,49
02.10.2020,12:27:00,110681,115181,108057,114581,97
02.10.2020,12:28:00,109965,115169,108162,112341,24
02.10.2020,12:29:00,111363,115218,108124,112457,44
02.10.2020,12:30:00,111200,115159,108026,110253,45
02.10.2020,12:31:00,111508,115107,108031,109645,62
02.10.2020,12:32:00,114522,115218,107962,110939,7
02.10.2020,12:33:00,113344,115277,108069,113526,44
02.10.2020,12:34:00,113708,115101,108119,110449,29
02.10.2020,12:35:00,110086,115240,108194,109977,19
02.10.2020,12:36:00,114094,115262,107932,109238,23
02.10.2020,12:37:00,113101,115242,107957,109862,55
02.10.2020,12:38:00,112400,115110,108047,113693,13
02.10.2020,12:39:00,114085,115102,107973,113594,70
02.10.2020,12:40:00,114411,115258,107948,109441,77
02.10.2020,12:41:00,109526,115224,108242,113993,84
02.10.2020,12:42:00,114234,114953,108231,113895,62
02.10.2020,12:43:00,114473,115184,107956,110465,33
02.10.2020,12:44:00,109649,115209,107922,115036,31
02.10.2020,12:45:00,109469,115222,108467,110449,80
02.10.2020,12:46:00,114436,115056,108041,110424,85
02.10.2020,12:47:00,107935,115295,107935,114378,58
02.10.2020,12:48:00,109738,115217,107902,113026,73
02.10.2020,12:49:00,108505,115216,108044,114919,38
02.10.2020,12:50:00,112525,115010,108136,109041,39
02.10.2020,12:51:00,108440,115272,108043,113947,10
02.10.2020,12:52:00,110807,115209,107927,113375,84
02.10.2020,12:53:00,110598,115169,107959,109228,59
02.10.2020,12:54:00,112349,114960,107909,114205,74
02.10.2020,12:55:00,112177,115013,107926,114151,48
02.10.2020,12:56:00,108736,115212,108198,109961,14
02.10.2020,12:57:00,113673,115207,107900,108708,20
02.10.2020,12:58:00,113893,115199,108178,108529,30
02.10.2020,12:59:00,112546,115275,108128,113172,6
02.10.2020,13:00:00,113930,115226,107950,113467,90
02.10.2020,13:01:00,114386,115268,107953,108392,16
02.10.2020,13:02:00,112193,115152,108545,112827,22
02.10.2020,13:03:00,114698,115263,108293,111108,23
02.10.2020,13:04:00,113710,115260,108228,113478,23
02.10.2020,13:05:00,111567,115038,107961,110029,38
02.10.2020,13:06:00,114655,115229,107984,111059,1
02.10.2020,13:07:00,109412,115237,107941,115237,38
02.10.2020,13:08:00,108576,115299,107914,108223,12
02.10.2020,13:09:00,108571,115200,108026,109974,39
02.10.2020,13:10:00,110725,114769,108062,108089,77
02.10.2020,13:11:00,109912,115243,108193,111338,50
02.10.2020,13:12:00,114049,114878,107979,108492,83
02.10.2020,13:13:00,110665,115255,107997,111549,13
02.10.2020,13:14:00,108826,115265,108052,113999,86
02.10.2020,13:15:00,113949,115237,108227,114213,26
02.10.2020,13:16:00,112569,115209,108060,109962,50
02.10.2020,13:17:00,113085,115005,107903,111985,90
02.10.2020,13:18:00,112090,115183,107906,112276,11
02.10.2020,13:19:00,112068,115261,107915,108784,31
02.10.2020,13:20:00,112032,115260,108060,111768,12
02.10.2020,13:21:00,111861,115118,108023,109596,28
02.10.2020,13:22:00,109400,115178,107962,107962,90
02.10.2020,13:23:00,113071,115197,108082,109704,9
02.10.2020,13:24:00,109729,115124,107905,114506,75
02.10.2020,13:25:00,110120,115284,107958,109458,85
02.10.2020,13:26:00,112410,115268,107962,114422,18
02.10.2020,13:27:00,115108,115110,108097,112514,10
02.10.2020,13:28:00,111982,115107,107931,110220,41
02.10.2020,13:29:00,114746,114877,107947,113324,65
02.10.2020,13:30:00,113593,115224,107966,112817,21
02.10.2020,13:31:00,114099,115101,108038,113445,84
02.10.2020,13:32:00,110189,115126,107932,114408,14
02.10.2020,13:33:00,111843,115287,107929,110358,78
02.10.2020,13:34:00,111535,115253,108117,112663,69
02.10.2020,13:35:00,114982,115292,107937,111658,40
02.10.2020,13:36:00,113450,115036,108079,113641,69
02.10.2020,13:37:00,111163,115299,107926,110426,42
02.10.2020,13:38:00,113313,115254,107990,109178,52
02.10.2020,13:39:00,109052,115058,108141,110645,27
02.10.2020,13:40:00,108350,115137,108144,110868,18
02.10.2020,13:41:00,110144,115115,107911,109583,97
02.10.2020,13:42:00,112056,115032,108132,109999,41
02.10.2020,13:43:00,114558,115299,107932,112896,36
02.10.2020,13:44:00,108681,115236,108058,112776,31
02.10.2020,13:45:00,110378,115116,108102,108278,17
02.10.2020,13:46:00,112124,115104,107921,110864,19
02.10.2020,13:48:00,111839,115112,108102,108280,97
02.10.2020,13:49:00,111704,115271,107921,111538,71
02.10.2020,13:50:00,108525,115227,108122,109480,18
02.10.2020,13:51:00,109990,115025,107918,113061,48
02.10.2020,13:52:00,114958,115246,107939,114159,4
02.10.2020,13:53:00,109275,115289,107910,112139,34
02.10.2020,13:54:00,114437,115193,107935,114698,43
02.10.2020,13:55:00,110477,115297,107958,113072,97
02.10.2020,13:56:00,108680,115236,108037,113157,45
02.10.2020,13:57:00,114859,115012,107983,108452,57
02.10.2020,13:58:00,111956,115271,108004,113955,3
02.10.2020,13:59:00,113596,115232,108149,108965,71
02.10.2020,14:00:00,110961,114991,108079,110369,52
02.10.2020,14:01:00,111439,115278,108011,110845,20
02.10.2020,14:02:00,109535,115177,108055,114951,76
02.10.2020,14:03:00,108837,115290,107957,115290,13
02.10.2020,14:04:00,115257,115290,107907,113990,35
02.10.2020,14:05:00,109089,115272,107934,111787,6
02.10.2020,14:06:00,113123,115073,108034,111056,18
02.10.2020,14:07:00,109098,115259,107904,111295,63
02.10.2020,14:08:00,109501,115264,107955,112656,7
02.10.2020,14:09:00,111579,115103,107984,111909,62
02.10.2020,14:10:00,109222,115255,107906,113714,51
02.10.2020,14:11:00,113936,115123,107921,113815,97
02.10.2020,14:12:00,114840,115294,107912,112785,13
02.10.2020,14:13:00,115272,115289,107950,108845,13
02.10.2020,14:14:00,114612,115016,107941,114803,56
02.10.2020,14:15:00,109659,115244,108075,109307,23
02.10.2020,14:16:00,111306,114546,108050,113576,62
02.10.2020,14:17:00,108753,115275,107994,110695,11
02.10.2020,14:18:00,112473,115196,107931,115178,45
02.10.2020,14:19:00,111627,115292,107949,109970,48
02.10.2020,14:20:00,112657,115222,107936,113830,60
02.10.2020,14:21:00,110349,115217,107977,110154,14
02.10.2020,14:22:00,115267,115267,107972,108839,11
02.10.2020,14:23:00,112941,115200,108028,108691,22
02.10.2020,14:24:00,111815,114995,107906,109041,19
02.10.2020,14:25:00,113534,115157,107907,115157,97
02.10.2020,14:26:00,110159,115049,107936,112644,53
02.10.2020,14:27:00,113432,115252,108255,111865,18
02.10.2020,14:28:00,112043,115268,108272,110186,49
02.10.2020,14:29:00,108666,115141,108015,110695,20
02.10.2020,14:30:00,114435,115297,107942,107942,96
02.10.2020,14:31:00,111636,115298,107965,109490,59
02.10.2020,14:32:00,110679,115148,108334,110592,34
02.10.2020,14:33:00,113220,115270,107927,110680,37
02.10.2020,14:34:00,113876,115184,108072,112588,57
02.10.2020,14:35:00,113958,115207,108048,111727,30
02.10.2020,14:36:00,111019,115239,107904,108503,24
02.10.2020,14:37:00,114096,115294,108182,113787,9
02.10.2020,14:38:00,110096,115244,108079,114296,47
02.10.2020,14:39:00,111344,115225,108108,114959,49
02.10.2020,14:40:00,112709,115133,107908,112559,82
02.10.2020,14:41:00,112960,115214,107932,110659,28
02.10.2020,14:42:00,111097,115189,107995,110642,88
02.10.2020,14:43:00,109263,115291,108010,108773,71
02.10.2020,14:44:00,112892,115172,107978,108110,63
02.10.2020,14:45:00,114216,115237,108142,111364,64
02.10.2020,14:46:00,112154,115127,107915,108782,44
02.10.2020,14:47:00,110807,115107,108231,111902,48
02.10.2020,14:48:00,111385,115283,108286,109105,82
02.10.2020,14:49:00,108147,115096,107933,113742,64
02.10.2020,14:50:00,113416,115262,107945,108351,44
02.10.2020,14:51:00,114906,115247,107907,108416,74
02.10.2020,14:52:00,108033,115215,107921,115215,88
02.10.2020,14:53:00,108679,115282,108151,112495,83
02.10.2020,14:54:00,109367,115274,108075,111282,10
02.10.2020,14:55:00,111009,115290,107924,113243,94
02.10.2020,14:56:00,109691,115244,108063,114384,67
02.10.2020,14:57:00,112357,115026,108052,111161,84
02.10.2020,14:58:00,108631,115143,107995,115005,81
02.10.2020,14:59:00,113445,115054,108407,110281,33
